date,amount,category,description
12-08-2024,1300.0,Income,Summer Savings
12-08-2024,169.0,Expense,Blur Powder
13-08-2024,75.0,Expense,Groceries
13-08-2024,200.0,Expense,Electricity Bill
14-08-2024,500.0,Income,Freelance Project
14-08-2024,50.0,Expense,Coffee
15-08-2024,100.0,Expense,Transportation
15-08-2024,1500.0,Income,Salary Advance
16-08-2024,300.0,Expense,Restaurant Dinner
16-08-2024,20.0,Expense,Snacks
17-08-2024,250.0,Expense,Clothing
17-08-2024,100.0,Income,Cashback Rewards
18-08-2024,900.0,Expense,Rent
18-08-2024,30.0,Expense,Books
19-08-2024,1200.0,Income,Birthday Gift
19-08-2024,90.0,Expense,Internet Bill
20-08-2024,400.0,Expense,Medical Checkup
20-08-2024,150.0,Income,Garage Sale
21-08-2024,85.0,Expense,Subscription Service
21-08-2024,70.0,Expense,Gas
22-08-2024,50.0,Expense,Laundry
22-08-2024,250.0,Income,Side Job
23-08-2024,500.0,Expense,Home Maintenance
23-08-2024,600.0,Income,Investment Returns
24-08-2024,40.0,Expense,Taxi Ride
24-08-2024,120.0,Expense,Movie Tickets
25-08-2024,180.0,Income,Gift Card Redemption
25-08-2024,90.0,Expense,Gym Membership
28-08-2024,1000.0,Income, Allowance
